# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
184.3821757; 156.5959328; 137.8697549; 0.3785938; 0.0987337; 8.1620275; -0.1682302
185.8812178; 155.9357481; 139.2119650; 0.5388381; 0.1115925; 8.1310715; 1.4666869
187.3802599; 155.0603060; 140.4318940; 0.7043057; 0.1059419; 8.3971171; 2.5265711
188.8793020; 154.0077599; 141.4918053; 0.8580454; 0.1000681; 8.8366536; 2.3061315
190.3783441; 152.8075728; 142.3833928; 1.0044956; 0.0949639; 9.2195675; 2.2117125
191.8773861; 151.4917111; 143.0969777; 1.1414229; 0.0875018; 9.5724252; 2.2948431
193.3764282; 150.0923221; 143.6331272; 1.2657712; 0.0772429; 9.9252938; 2.5610116
194.8754703; 148.6396097; 144.0039912; 1.3723669; 0.0633989; 10.3048331; 2.9381433
196.3745124; 147.1588857; 144.2345809; 1.4568707; 0.0498004; 10.7237300; 3.3319440
197.8735545; 145.6650009; 144.3537215; 1.5226729; 0.0382828; 11.1797958; 3.6864527
199.3725965; 144.1658935; 144.3865571; 1.5728098; 0.0290318; 11.6636242; 3.9793068
200.8716386; 142.6660783; 144.3537537; 1.6107384; 0.0219651; 12.1643095; 4.2040816
202.3706807; 141.1672916; 144.2711905; 1.6395982; 0.0167652; 12.6718040; 4.3666236
203.8697228; 139.6704356; 144.1505981; 1.6618140; 0.0129410; 13.1782443; 4.4604141
205.3687649; 138.1806061; 144.0011071; 1.6791169; 0.0102367; 13.6762136; 4.5166728
206.8678069; 136.6924076; 143.8285176; 1.6929220; 0.0083151; 14.1626334; 4.5456634
208.3668490; 135.2050336; 143.6371166; 1.7043299; 0.0070763; 14.6358623; 4.5460256
209.8658911; 133.7190595; 143.4297948; 1.7143150; 0.0063046; 15.0942980; 4.5244756
211.3649332; 132.2354158; 143.2084314; 1.7233651; 0.0057660; 15.5371359; 4.4813045
212.8639753; 130.7546328; 142.9744018; 1.7315855; 0.0052134; 15.9636437; 4.4685653
214.3630173; 129.2747234; 142.7286362; 1.7390055; 0.0046823; 16.3778831; 4.4875053
215.8620594; 127.7962753; 142.4724207; 1.7456531; 0.0041792; 16.7835924; 4.5180849
217.3611015; 126.3202195; 142.2070710; 1.7515612; 0.0037106; 17.1823913; 4.5624954
218.8601436; 124.8473444; 141.9338212; 1.7567937; 0.0032575; 17.5759300; 4.6239994
220.3591857; 123.3762066; 141.6535003; 1.7612307; 0.0026640; 17.9659805; 4.7126092
221.8582277; 121.9021117; 141.3663294; 1.7651493; 0.0025763; 18.3549790; 4.8136581
223.3572698; 120.4306569; 141.0737460; 1.7690054; 0.0025783; 18.7439859; 4.9167023
224.8563119; 118.9612470; 140.7756935; 1.7727804; 0.0023856; 19.1331569; 5.0206259
226.3553540; 117.4933563; 140.4724977; 1.7760951; 0.0020168; 19.5225499; 5.1238968
227.8543960; 116.0266374; 140.1649363; 1.7787740; 0.0015324; 19.9121025; 5.2246812
229.3534381; 114.5606656; 139.8540347; 1.7806341; 0.0009343; 20.3016221; 5.3212195
230.8524802; 113.0951012; 139.5410917; 1.7815311; 0.0002541; 20.6908029; 5.4115114
232.3515223; 111.6296042; 139.2275929; 1.7813657; -0.0004749; 21.0792194; 5.4935448
233.8505644; 110.1638608; 138.9151403; 1.7800930; -0.0012192; 21.4663365; 5.5653324
235.3496064; 108.6975683; 138.6053751; 1.7777070; -0.0019583; 21.8515202; 5.6247935
236.8486485; 107.2304285; 138.2999326; 1.7742063; -0.0027333; 22.2340401; 5.5640590
238.3476906; 105.7621116; 138.0005378; 1.7694373; -0.0036929; 22.6060624; 5.3419233
239.8467327; 104.2921927; 137.7093104; 1.7630323; -0.0049084; 22.9575607; 5.0278856
241.3457748; 102.8201427; 137.4289109; 1.7546763; -0.0062577; 23.2835482; 4.6551877
242.8448168; 101.3454128; 137.1622884; 1.7443218; -0.0075385; 23.5813541; 3.3652458
244.3438589; 99.8675473; 136.9122777; 1.7321562; -0.0086695; 23.7943176; 0.9205840
245.8429010; 98.3864255; 136.6814394; 1.7184137; -0.0096391; 23.8522439; -2.0063262
247.3419431; 96.9025991; 136.4720385; 1.7033832; -0.0103955; 23.7258173; -4.4464684
248.8409852; 95.4158081; 136.2857646; 1.6873295; -0.0110169; 23.4431977; -5.9964849
250.3400272; 93.9261702; 136.1240508; 1.6703987; -0.0115721; 23.0565729; -6.4485638
251.8390693; 92.4339186; 135.9881735; 1.6526886; -0.0120307; 22.6334314; -6.4335080
253.3381114; 90.9393936; 135.8791766; 1.6344482; -0.0122597; 22.2032434; -6.5471297
254.8371535; 89.4430241; 135.7976030; 1.6160749; -0.0122106; 21.7567270; -6.7252029
256.3361956; 87.9452720; 135.7433817; 1.5979597; -0.0119200; 21.2883171; -6.9094436
257.8352376; 86.4465597; 135.7158933; 1.5804248; -0.0114686; 20.7960899; -7.0340388
259.3342797; 84.9471911; 135.7141686; 1.5635859; -0.0110150; 20.2827196; -7.0759829
260.8333218; 83.4473682; 135.7372448; 1.5473269; -0.0106575; 19.7528307; -7.0299552
262.3323639; 81.9470101; 135.7843279; 1.5316248; -0.0102626; 19.2119214; -6.8980578
263.8314059; 80.4515149; 135.8544960; 1.5161599; -0.0104127; 18.6659306; -6.7030355
265.3304480; 78.9564355; 135.9481564; 1.5001348; -0.0110585; 18.1196220; -6.4868682
266.8294901; 77.4614802; 136.0667590; 1.4828829; -0.0119952; 17.5747695; -6.2569796
268.3285322; 75.9681173; 136.2123624; 1.4640074; -0.0132591; 17.0327206; -6.0182800
269.8275743; 74.4779873; 136.3876953; 1.4429248; -0.0149216; 16.4945525; -5.7743177
271.3266163; 72.9932278; 136.5962577; 1.4190373; -0.0170079; 15.9611520; -5.5201194
272.8256584; 71.5144873; 136.8426794; 1.3916580; -0.0195962; 15.4340076; -5.2688093
274.3247005; 70.0418722; 137.1329109; 1.3599648; -0.0227420; 14.9134924; -5.0331016
275.8237426; 68.5799020; 137.4733861; 1.3230650; -0.0265354; 14.3987011; -4.8092231
277.3227847; 67.1331441; 137.8718427; 1.2798891; -0.0311026; 13.8889934; -4.6015932
278.8218267; 65.7072938; 138.3373647; 1.2291737; -0.0365863; 13.3831302; -4.4158827
280.3208688; 64.3096978; 138.8804955; 1.1694486; -0.0431077; 12.8790134; -4.2590934
281.8199109; 62.9501245; 139.5131609; 1.0991190; -0.0506535; 12.3733531; -4.1397064
283.3189530; 61.6417901; 140.2480141; 1.0168214; -0.0587395; 11.8612258; -4.0679807
284.8179951; 60.4025224; 141.0959972; 0.9227553; -0.0655436; 11.3354545; -4.0562314
286.3170371; 59.2544171; 142.0594553; 0.8222147; -0.0664856; 10.7857131; -4.1350621
287.8160792; 58.2150518; 143.1219496; 0.7297267; -0.0533410; 10.1948194; -4.3396618
289.3151213; 57.2529723; 144.2705429; 0.6714297; -0.0299821; 9.5353905; -3.6031323
290.8141634; 56.3545888; 145.4609657; 0.6158503; -0.0495708; 8.9510434; -1.0798847
292.3132055; 55.5417809; 146.7210269; 0.5232670; -0.0753693; 8.7683289; -1.0531499
293.8122475; 54.8770112; 148.0623380; 0.3904646; -0.1007413; 8.5863939; -1.0309365
295.3112896; 54.4207052; 149.4884075; 0.2241733; -0.1193702; 8.4044825; -0.8341446
296.8103317; 54.2251856; 150.9751883; 0.0346945; -0.1307188; 8.2543619; -0.3174844
298.3093738; 54.3223989; 152.4706134; -0.1649999; -0.1340420; 8.1965020; 0.9745074
299.8084159; 54.7127826; 153.9161741; -0.3600605; -0.1250988; 8.3728311; 2.5046800
301.3074579; 55.3637026; 155.2639929; -0.5364087; -0.1118531; 8.8098548; 2.3324827
302.8065000; 56.2317795; 156.4837881; -0.6990330; -0.1052303; 9.1981803; 2.2477773
304.3055421; 57.2805215; 157.5521763; -0.8513351; -0.0975900; 9.5574864; 2.2825473
305.8045842; 58.4739439; 158.4566491; -0.9906891; -0.0874797; 9.9090270; 2.5026172
307.3036262; 59.7755935; 159.1978148; -1.1122446; -0.0739641; 10.2806553; 2.9082089
308.8026683; 61.1517594; 159.7907283; -1.2118734; -0.0587118; 10.6963044; 3.4154670
310.3017104; 62.5752230; 160.2602750; -1.2888388; -0.0441744; 11.1647116; 3.9306409
311.8007525; 64.0269824; 160.6341554; -1.3455995; -0.0319096; 11.6805470; 4.3954399
313.2997946; 65.4951170; 160.9376017; -1.3859951; -0.0223205; 12.2316424; 4.7802109
314.7988366; 66.9725989; 161.1911617; -1.4139352; -0.0152267; 12.8040834; 5.0704355
316.2978787; 68.4554137; 161.4103811; -1.4328972; -0.0102881; 13.3845487; 5.2600951
317.7969208; 69.9413296; 161.6062311; -1.4458462; -0.0071732; 13.9612446; 5.3514079
319.2959629; 71.4291798; 161.7857363; -1.4552187; -0.0054960; 14.5244732; 5.3495212
320.7950050; 72.9184507; 161.9526578; -1.4631082; -0.0052353; 15.0664739; 5.2548637
322.2940470; 74.4090668; 162.1078415; -1.4710812; -0.0054593; 15.5805379; 5.1546831
323.7930891; 75.9010866; 162.2508940; -1.4793295; -0.0054571; 16.0688311; 5.0684445
325.2921312; 77.3944838; 162.3817761; -1.4873662; -0.0052166; 16.5349012; 4.9942731
326.7911733; 78.8891361; 162.5009990; -1.4949438; -0.0048668; 16.9816433; 4.9306119
328.2902154; 80.3848638; 162.6093275; -1.5019546; -0.0044785; 17.4114502; 4.8762670
329.7892574; 81.8814446; 162.7076154; -1.5083802; -0.0040889; 17.8263304; 4.8304256
331.2882995; 83.3786225; 162.7967262; -1.5142175; -0.0036995; 18.2280026; 4.7782876
332.7873416; 84.8753938; 162.8774859; -1.5194723; -0.0033172; 18.6168146; 4.7413942
334.2863837; 86.3724334; 162.9507971; -1.5241640; -0.0029461; 18.9947594; 4.7218861
335.7854258; 87.8701858; 163.0175116; -1.5283119; -0.0025886; 19.3638193; 4.7088829
337.2844678; 89.3683979; 163.0784180; -1.5319341; -0.0022445; 19.7249873; 4.7022121
338.7835099; 90.8668051; 163.1342793; -1.5350493; -0.0019129; 20.0791621; 4.7018367
340.2825520; 92.3651392; 163.1858332; -1.5376754; -0.0015935; 20.4271695; 4.7078679
341.7815941; 93.8631541; 163.2337914; -1.5398333; -0.0012850; 20.7697819; 4.7157559
343.2806361; 95.3615717; 163.2788794; -1.5415150; -0.0009580; 21.1073938; 4.7351924
344.7796782; 96.8608341; 163.3218520; -1.5426735; -0.0005811; 21.4410489; 4.7653094
346.2787203; 98.3597800; 163.3634369; -1.5434423; -0.0005183; 21.7716645; 4.7960493
347.7777624; 99.8584037; 163.4038574; -1.5442070; -0.0004737; 22.0994193; 4.8267013
